route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
5,1,31055111,Tigre,3105,0,5
5,2,31055121,Tigre,3105,0,5
5,3,31055131,Tigre,3105,0,5
5,1,31065211,Retiro (LM),3106,1,6
5,2,31065221,Retiro (LM),3106,1,6
5,3,31065231,Retiro (LM),3106,1,6
5,1,31075111,Tigre,3107,0,5
5,2,31075121,Tigre,3107,0,5
5,3,31075131,Tigre,3107,0,5
5,1,31085211,Retiro (LM),3108,1,6
5,2,31085221,Retiro (LM),3108,1,6
5,3,31085231,Retiro (LM),3108,1,6
5,1,31095111,Tigre,3109,0,5
5,2,31095121,Tigre,3109,0,5
5,3,31095131,Tigre,3109,0,5
5,1,31105211,Retiro (LM),3110,1,6
5,2,31105221,Retiro (LM),3110,1,6
5,3,31105231,Retiro (LM),3110,1,6
5,1,31115111,Tigre,3111,0,5
5,2,31115121,Tigre,3111,0,5
5,3,31115131,Tigre,3111,0,5
5,1,31125211,Retiro (LM),3112,1,6
5,2,31125221,Retiro (LM),3112,1,6
5,3,31125231,Retiro (LM),3112,1,6
5,1,31135111,Tigre,3113,0,5
5,2,31135121,Tigre,3113,0,5
5,3,31135131,Tigre,3113,0,5
5,1,31145211,Retiro (LM),3114,1,6
5,2,31145221,Retiro (LM),3114,1,6
5,3,31145231,Retiro (LM),3114,1,6
5,1,31155111,Tigre,3115,0,5
5,2,31155121,Tigre,3115,0,5
5,3,31155131,Tigre,3115,0,5
5,1,31165211,Retiro (LM),3116,1,6
5,2,31165221,Retiro (LM),3116,1,6
5,3,31165231,Retiro (LM),3116,1,6
5,1,31175111,Tigre,3117,0,5
5,2,31175121,Tigre,3117,0,5
5,3,31175131,Tigre,3117,0,5
5,1,31185211,Retiro (LM),3118,1,6
5,2,31185221,Retiro (LM),3118,1,6
5,3,31185231,Retiro (LM),3118,1,6
5,1,31195111,Tigre,3119,0,5
5,2,31195121,Tigre,3119,0,5
5,3,31195131,Tigre,3119,0,5
5,1,31205211,Retiro (LM),3120,1,6
5,2,31205221,Retiro (LM),3120,1,6
5,3,31205231,Retiro (LM),3120,1,6
5,1,31215111,Tigre,3121,0,5
5,2,31215121,Tigre,3121,0,5
5,3,31215131,Tigre,3121,0,5
5,1,31225211,Retiro (LM),3122,1,6
5,2,31225221,Retiro (LM),3122,1,6
5,3,31225231,Retiro (LM),3122,1,6
5,1,31235111,Tigre,3123,0,5
5,2,31235121,Tigre,3123,0,5
5,3,31235131,Tigre,3123,0,5
5,1,31245211,Retiro (LM),3124,1,6
5,2,31245221,Retiro (LM),3124,1,6
5,3,31245231,Retiro (LM),3124,1,6
5,1,31255111,Tigre,3125,0,5
5,2,31255121,Tigre,3125,0,5
5,3,31255131,Tigre,3125,0,5
5,1,31265211,Retiro (LM),3126,1,6
5,2,31265221,Retiro (LM),3126,1,6
5,3,31265231,Retiro (LM),3126,1,6
5,1,31275111,Tigre,3127,0,5
5,2,31275121,Tigre,3127,0,5
5,3,31275131,Tigre,3127,0,5
5,1,31285211,Retiro (LM),3128,1,6
5,2,31285221,Retiro (LM),3128,1,6
5,1,31295111,Tigre,3129,0,5
5,2,31295121,Tigre,3129,0,5
5,1,31305211,Retiro (LM),3130,1,6
5,2,31305221,Retiro (LM),3130,1,6
5,1,31315111,Tigre,3131,0,5
5,2,31315121,Tigre,3131,0,5
5,1,31325211,Retiro (LM),3132,1,6
5,2,31325221,Retiro (LM),3132,1,6
5,1,31335111,Tigre,3133,0,5
5,2,31335121,Tigre,3133,0,5
5,1,31345211,Retiro (LM),3134,1,6
5,2,31345221,Retiro (LM),3134,1,6
5,1,31355111,Tigre,3135,0,5
5,2,31355121,Tigre,3135,0,5
5,1,31365211,Retiro (LM),3136,1,6
5,2,31365221,Retiro (LM),3136,1,6
5,1,31375111,Tigre,3137,0,5
5,2,31375121,Tigre,3137,0,5
5,1,31385211,Retiro (LM),3138,1,6
5,1,31395111,Tigre,3139,0,5
5,1,31405211,Retiro (LM),3140,1,6
5,1,31415111,Tigre,3141,0,5
5,1,31425211,Retiro (LM),3142,1,6
5,1,31435111,Tigre,3143,0,5
5,1,31445211,Retiro (LM),3144,1,6
5,1,31455111,Tigre,3145,0,5
5,1,31465211,Retiro (LM),3146,1,6
5,1,31475111,Tigre,3147,0,5
5,1,31485211,Retiro (LM),3148,1,6
5,1,31495111,Tigre,3149,0,5
5,1,31505211,Retiro (LM),3150,1,6
5,1,31515111,Tigre,3151,0,5
5,1,31525211,Retiro (LM),3152,1,6
5,1,31535111,Tigre,3153,0,5
5,1,31545211,Retiro (LM),3154,1,6
5,1,31555111,Tigre,3155,0,5
5,1,31565211,Retiro (LM),3156,1,6
5,1,31575111,Tigre,3157,0,5
5,1,31585211,Retiro (LM),3158,1,6
5,1,31595111,Tigre,3159,0,5
5,1,31605211,Retiro (LM),3160,1,6
5,1,31615111,Tigre,3161,0,5
5,1,31625211,Retiro (LM),3162,1,6
5,1,31635111,Tigre,3163,0,5
5,1,31645211,Retiro (LM),3164,1,6
5,1,31655111,Tigre,3165,0,5
7,1,33007211,Retiro (LM),3300,1,8
7,2,33007221,Retiro (LM),3300,1,8
7,3,33007231,Retiro (LM),3300,1,8
7,1,33017111,Mitre,3301,0,7
7,2,33017121,Mitre,3301,0,7
