stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2032385,,"5797 DEL LIBERTADOR AV.",,-34.558702,-58.445977,,,,,America/Argentina/Buenos_Aires,
6427100981,,"AVENIDA DE MAYO 948",,-34.649684,-58.563872,,,,,America/Argentina/Buenos_Aires,
201564,,"1812 PAYSANDU",,-34.604207,-58.458726,,,,,America/Argentina/Buenos_Aires,
6260113564,,"R. OLIVER 1099-1199",,-34.778986,-58.476372,,,,,America/Argentina/Buenos_Aires,
6574123799,,"PARROQUIA NUESTRA SEÑORA DEL CARMEN Y CALLE 127",,-35.004846,-59.263485,,,,,America/Argentina/Buenos_Aires,
6441118855,,"AVENIDA 32_CALLE 133",,-34.925155,-57.996065,,,,,America/Argentina/Buenos_Aires,
6434127940,,"JOSÉ MARÍA MORENO 1562",,-34.697962,-58.41461,,,,,America/Argentina/Buenos_Aires,
6252134188,,"GENERAL LAMADRID Y SAN JUAN",,-34.33779,-58.78916,,,,,America/Argentina/Buenos_Aires,
6497130288,,"AVENIDA NUESTRA SEÑORA DE LUJÁN Y UGARTE",,-34.556506,-59.118233,,,,,America/Argentina/Buenos_Aires,
6568107924,,"MONSEÑOR DE ANDREA 731",,-34.637747,-58.593789,,,,,America/Argentina/Buenos_Aires,
20768,,"3575 SANABRIA",,-34.604524,-58.512908,,,,,America/Argentina/Buenos_Aires,
20838,,"1860 DON PEDRO DE MENDOZA AV.",,-34.63916,-58.36107,,,,,America/Argentina/Buenos_Aires,
6408106150,,"EVA PERÓN 2999-3049",,-34.586492,-58.658087,,,,,America/Argentina/Buenos_Aires,
635110845,,"AVENIDA BARTOLOMÉ MITRE 5432",,-34.697382,-58.325672,,,,,America/Argentina/Buenos_Aires,
6408120437,,"FÉLIX FRÍAS 2975",,-34.607066,-58.641303,,,,,America/Argentina/Buenos_Aires,
6427111463,,"VENTURA YANZI 2199-2299",,-34.716472,-58.611533,,,,,America/Argentina/Buenos_Aires,
6490126603,,"DORREGO 724-748",,-34.779519,-58.402341,,,,,America/Argentina/Buenos_Aires,
6539114102,,"AVENIDA DOCTOR RICARDO BALBÍN Y RAUCH",,-34.728788,-58.795988,,,,,America/Argentina/Buenos_Aires,
6260121376,,"AVENIDA E. SANTAMARINA 1006-1048",,-34.826053,-58.478595,,,,,America/Argentina/Buenos_Aires,
6427111766,,"INFANTA ISABEL 5899-5999",,-34.773599,-58.618641,,,,,America/Argentina/Buenos_Aires,
205790,,"10768 RIVADAVIA AV.",,-34.639198,-58.515336,,,,,America/Argentina/Buenos_Aires,
691121177,,"CAMINO GENERAL BELGRANO_CALLE 706",,-34.841636,-58.158168,,,,,America/Argentina/Buenos_Aires,
2032168,,"1987 ALVAREZ THOMAS AV.",,-34.578628,-58.469129,,,,,America/Argentina/Buenos_Aires,
6805121809,,"AVENIDA ALVEAR 2100-2198",,-34.414939,-58.695055,,,,,America/Argentina/Buenos_Aires,
6410131022,,"GENERAL FERNÁNDEZ DE LA CRUZ 162",,-34.634852,-58.66561,,,,,America/Argentina/Buenos_Aires,
202792,,"1420 DONADO",,-34.579094,-58.470869,,,,,America/Argentina/Buenos_Aires,
6260130622,,"SAN MARTÍN 1200-1298",,-34.80386,-58.45657,,,,,America/Argentina/Buenos_Aires,
206612,,"1442 LIMA",,-34.625187,-58.382284,,,,,America/Argentina/Buenos_Aires,
628122853,,"RAWSON 700-748",,-34.792162,-58.324625,,,,,America/Argentina/Buenos_Aires,
635105666,,"GUAMINÍ 5973",,-34.690787,-58.306336,,,,,America/Argentina/Buenos_Aires,
6434123346,,"MIGUEL CANE 293",,-34.711198,-58.395556,,,,,America/Argentina/Buenos_Aires,
6412115290,,"AVENIDA HECTOR ARREGUI 2249-2299",,-34.498892,-58.767147,,,,,America/Argentina/Buenos_Aires,
6490133145,,"DOCTOR JORGE MELBER 2101-2199",,-34.808357,-58.425329,,,,,America/Argentina/Buenos_Aires,
6756121817,,"INDEPENDENCIA 1554",,-34.516277,-58.5495,,,,,America/Argentina/Buenos_Aires,
6658109099,,"BRANDSEN 860-888",,-34.720361,-58.241312,,,,,America/Argentina/Buenos_Aires,
6427107373,,"CALIFORNIA 8300-8398",,-34.827215,-58.636442,,,,,America/Argentina/Buenos_Aires,
6658123851,,"TRIUNVIRATO 2200-2298",,-34.745669,-58.276836,,,,,America/Argentina/Buenos_Aires,
6756133438,,"INDEPENDENCIA 1902",,-34.518851,-58.546227,,,,,America/Argentina/Buenos_Aires,
6861109316,,"PANAMERICANA Y UGARTE",,-34.523354,-58.511425,,,,,America/Argentina/Buenos_Aires,
6490133317,,"MIGUEL CANE 1102-1200",,-34.752407,-58.384432,,,,,America/Argentina/Buenos_Aires,
6568119249,,"EL CEIBO 200-298",,-34.650544,-58.586729,,,,,America/Argentina/Buenos_Aires,
202153,,"2073 ARAOZ",,-34.588569,-58.419666,,,,,America/Argentina/Buenos_Aires,
635118602,,"ENTRE RÍOS 920",,-34.670276,-58.393211,,,,,America/Argentina/Buenos_Aires,
6539134563,,"MANUEL GÓMEZ FRETES 3500-3598",,-34.689302,-58.736855,,,,,America/Argentina/Buenos_Aires,
6568125041,,"CAPITÁN CLAUDIO ROSALES 1891",,-34.630123,-58.590234,,,,,America/Argentina/Buenos_Aires,
2032689,,"5895 CASTRO EMILIO AV.",,-34.647213,-58.505267,,,,,America/Argentina/Buenos_Aires,
2032734,,"3638 CASEROS AV.",,-34.638972,-58.416391,,,,,America/Argentina/Buenos_Aires,
6658106740,,"AVENIDA LAMADRID 1299-1399",,-34.719985,-58.281713,,,,,America/Argentina/Buenos_Aires,
6410116232,,"FAMATINA 1700-1798",,-34.631244,-58.706764,,,,,America/Argentina/Buenos_Aires,
6412125722,,"LISANDRO DE LA TORRE Y JUAN JOSE CASTELLI",,-34.506501,-58.752659,,,,,America/Argentina/Buenos_Aires,
6434107848,,"PRES. TTE. GRAL. JUAN DOMINGO PERÓN 3619",,-34.667564,-58.414115,,,,,America/Argentina/Buenos_Aires,
203994,,"7499 PERON EVA AV.",,-34.673946,-58.501589,,,,,America/Argentina/Buenos_Aires,
6805111006,,"AVENIDA DE LOS CONSTITUYENTES 2001-2099",,-34.451621,-58.655329,,,,,America/Argentina/Buenos_Aires,
6410131379,,"INTENDENTE CARLOS RATTI 3599-3699",,-34.634898,-58.704148,,,,,America/Argentina/Buenos_Aires,
6840101969,,"JUSTO JOSÉ DE URQUIZA 4831",,-34.605804,-58.564455,,,,,America/Argentina/Buenos_Aires,
628126547,,"AVENIDA TENIENTE GENERAL DONATO ÁLVAREZ 2301-2399",,-34.770077,-58.325184,,,,,America/Argentina/Buenos_Aires,
6371123300,,"LINCOLN 3199",,-34.57558,-58.530701,,,,,America/Argentina/Buenos_Aires,
6539106068,,"ALMAGRO 900-998",,-34.688694,-58.675905,,,,,America/Argentina/Buenos_Aires,
6410125652,,"DEL LAZO 3799-3899",,-34.625612,-58.706305,,,,,America/Argentina/Buenos_Aires,
6490113054,,"BV. SANTA FE 1601-1683",,-34.738209,-58.417928,,,,,America/Argentina/Buenos_Aires,
6658118169,,"AVENIDA DARDO ROCHA 75",,-34.721638,-58.288593,,,,,America/Argentina/Buenos_Aires,
6427132692,,"BRIGADIER GENERAL JUAN MANUEL DE ROSAS 18500-18898",,-34.801832,-58.631777,,,,,America/Argentina/Buenos_Aires,
6490128152,,"AVENIDA EVA PERÓN 1102-1188",,-34.773198,-58.384281,,,,,America/Argentina/Buenos_Aires,
